No.,Time,Source,Destination,Protocol,Length,Info
3636,27.90596,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,92,Protected Payload (KP0)
3637,27.907264,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3638,27.907264,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3639,27.91898,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,96,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3640,28.026633,162.159.137.232,192.168.59.232,TCP,66,443  >  23415 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2
3641,28.028309,162.159.137.232,192.168.59.232,TCP,66,443  >  1349 [ACK] Seq=1 Ack=2 Win=8 Len=0 SLE=1 SRE=2
3642,28.037479,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,1285,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3643,28.0377,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,283,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3644,28.03845,192.168.59.232,192.168.59.222,DNS,75,Standard query 0x2506 A play.google.com
3645,28.038809,192.168.59.232,192.168.59.222,DNS,75,Standard query 0x8a88 AAAA play.google.com
3646,28.050691,192.168.59.232,162.159.137.232,TCP,55,1024  >  443 [ACK] Seq=1 Ack=1 Win=254 Len=1 [TCP segment of a reassembled PDU]
3647,28.079747,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,1285,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3648,28.079983,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,231,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3649,28.107967,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,1285,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3650,28.108251,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,241,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3651,28.115286,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,92,Protected Payload (KP0)
3652,28.130994,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,2404:6800:4009:809::200e,QUIC,96,"Protected Payload (KP0), DCID=f46ab9e01c9b06e4"
3653,28.133177,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
3654,28.165212,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,92,Protected Payload (KP0)
3655,28.170937,192.168.59.232,52.111.232.10,TCP,55,2265  >  443 [ACK] Seq=1 Ack=1 Win=257 Len=1 [TCP segment of a reassembled PDU]
3656,28.17515,2404:6800:4009:809::200e,2401:4900:5607:5efe:85e2:a0ed:cd6:d7c0,QUIC,88,Protected Payload (KP0)
